qid,题目,选项数,选项(|分隔)
econ_sit,How would you describe the current economic situation in the U.S.?,4,Very good | Somewhat good | Somewhat bad | Very bad
children_betteroff2,"When children today in the U.S. grow up, do you think they will be…",2,Better off financially than their parents | Worse off financially than their parents
satisfied_democracy,How satisfied are you with the way democracy is working in the U.S.?,4,Very satisfied | Somewhat satisfied | Not too satisfied | Not at all satisfied
fav_us,The U.S. // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_china,China // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_eu,The European Union // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_un,The United Nations // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_nato,"NATO, that is, North Atlantic Treaty Organization // Do you have a favorable or unfavorable opinion of…",4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_russia,Russia // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_india,India // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_mexico,Mexico // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_brazil,Brazil // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_uk,The United Kingdom // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_germany,Germany // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_france,France // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
partyfav_rep,The Republican Party // Do you have a favorable or unfavorable opinion of each of the following?,4,Very favorable | Mostly favorable | Mostly unfavorable | Very unfavorable
partyfav_dem,The Democratic Party // Do you have a favorable or unfavorable opinion of each of the following?,4,Very favorable | Mostly favorable | Mostly unfavorable | Very unfavorable
confid_xi,Chinese President Xi Jinping // How much confidence do you have in each of the following leaders to do the right thing regarding world affairs?,5,A lot of confidence | Some confidence | Not too much confidence | No confidence at all | Never heard of this person
confid_putin,Russian President Vladimir Putin // How much confidence do you have in each of the following leaders to do the right thing regarding world affairs?,5,A lot of confidence | Some confidence | Not too much confidence | No confidence at all | Never heard of this person
confid_macron,French President Emmanuel Macron // How much confidence do you have in each of the following leaders to do the right thing regarding world affairs?,5,A lot of confidence | Some confidence | Not too much confidence | No confidence at all | Never heard of this person
confid_zelenskyy,Ukrainian President Volodymyr Zelenskyy // How much confidence do you have in each of the following leaders to do the right thing regarding world affairs?,5,A lot of confidence | Some confidence | Not too much confidence | No confidence at all | Never heard of this person
confid_netanyahu,Israeli Prime Minister Benjamin Netanyahu // How much confidence do you have in each of the following leaders to do the right thing regarding world affairs?,5,A lot of confidence | Some confidence | Not too much confidence | No confidence at all | Never heard of this person
prob_rich_poor,The gap between the rich and poor // How much of a problem do you think each of the following is in the U.S. today?,4,A very big problem | A moderately big problem | A small problem | Not a problem at all
prob_gen_unequal,Unequal rights for men and women // How much of a problem do you think each of the following is in the U.S. today?,4,A very big problem | A moderately big problem | A small problem | Not a problem at all
prob_racediscrim,Discrimination against people based on their race or ethnicity // How much of a problem do you think each of the following is in the U.S. today?,4,A very big problem | A moderately big problem | A small problem | Not a problem at all
prob_reldiscrim,Discrimination against people based on their religion // How much of a problem do you think each of the following is in the U.S. today?,4,A very big problem | A moderately big problem | A small problem | Not a problem at all
prob_misinformation,How much of a problem do you think made-up news and information is in the country today?,4,A very big problem | A moderately big problem | A small problem | Not a problem at all
free_press,The media can report the news without government censorship // How important is it to have the following things in our country?,4,Very important | Somewhat important | Not too important | Not important at all
free_speech,People can say what they want without government censorship // How important is it to have the following things in our country?,4,Very important | Somewhat important | Not too important | Not important at all
free_internet,People can use the internet without government censorship // How important is it to have the following things in our country?,4,Very important | Somewhat important | Not too important | Not important at all
freedom_press,How free is the media to report the news? // And in the U.S. …,4,Completely free | Somewhat free | Not very free | Not at all free
freedom_say,How free are people to say what they want? // And in the U.S. …,4,Completely free | Somewhat free | Not very free | Not at all free
freedom_internet,How free are people to use the internet? // And in the U.S. …,4,Completely free | Somewhat free | Not very free | Not at all free
inequality_merit,"That some people work harder than others // How much, if at all, do you think each of the following contributes to economic inequality in this country?",4,Contributes a great deal | Contributes a fair amount | Contributes not too much | Contributes not at all
inequality_opp,"That some people are born with more opportunities than others // How much, if at all, do you think each of the following contributes to economic inequality in this country?",4,Contributes a great deal | Contributes a fair amount | Contributes not too much | Contributes not at all
inequality_discrim,"Discrimination against racial and ethnic minorities // How much, if at all, do you think each of the following contributes to economic inequality in this country?",4,Contributes a great deal | Contributes a fair amount | Contributes not too much | Contributes not at all
inequality_automation,"Robots and computers doing work previously done by humans // How much, if at all, do you think each of the following contributes to economic inequality in this country?",4,Contributes a great deal | Contributes a fair amount | Contributes not too much | Contributes not at all
inequality_edu,"Problems with our education system // How much, if at all, do you think each of the following contributes to economic inequality in this country?",4,Contributes a great deal | Contributes a fair amount | Contributes not too much | Contributes not at all
inequality_rich,"Rich people have too much political influence // How much, if at all, do you think each of the following contributes to economic inequality in this country?",4,Contributes a great deal | Contributes a fair amount | Contributes not too much | Contributes not at all
econsys_reform,"Thinking about the U.S., how much would you say the economic system needs to be changed, if at all?",4,It needs to be completely reformed | It needs major changes | It needs minor changes | It doesn’t need to be changed
usdemocracy_example,"Which statement comes closest to your own view, even if none are exactly right?Democracy in the U.S.…",3,"Is a good example for other countries to follow | Used to be a good example, but has not been in recent years | Has never been a good example for other countries to follow"
prezfp,"Right now, which is more important for President Biden to focus on?",2,Domestic policy | Foreign policy
usrespect_import,"How important, if at all, is it that the U.S. is generally respected by other countries around the world?",4,Very important | Somewhat important | Not too important | Not at all important
lrngfp_a,"Preventing the spread of weapons of mass destruction // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
lrngfp_b,"Strengthening the United Nations // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
lrngfp_c,"Reducing U.S. military commitments overseas // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
lrngfp_d,"Limiting the power and influence of Russia // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
lrngfp_e,"Promoting democracy in other nations // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
lrngfp_f,"Limiting the power and influence of China // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
lrngfp_g,"Maintaining the U.S. military advantage over all other countries // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
lrngfp_h,"Dealing with global climate change // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
lrngfp_i,"Finding a solution to the conflict between Israelis and Palestinians // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
lrngfp_j,"Reducing the flow of illegal drugs into our country // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
lrngfp_k,"The U.S. being a leader in developing artificial intelligence // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
lrngfp_l,"Promoting and defending human rights in other countries // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
lrngfp_m,"Reducing the spread of infectious diseases // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
lrngfp_n,"Limiting the power and influence of Iran // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
lrngfp_o,"Taking measures to protect the U.S. from terrorist attacks // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
lrngfp_p,"Getting other countries to assume more of the costs of maintaining world order // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
lrngfp_q,"Aiding refugees fleeing violence around the world // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
lrngfp_r,"Limiting the power and influence of North Korea // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
lrngfp_s,"Strengthening NATO // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
lrngfp_t,"Supporting Israel // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
lrngfp_u,"Supporting Ukraine // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
lrngfp_v,"The U.S. being a leader in space exploration // Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given?",3,Top priority | Some priority | No priority
us_euro_sec,Security and defense ties // How important is each of the following for strong relations between the U.S. and Europe?,4,Very important | Somewhat important | Not too important | Not at all important
us_euro_econ,Economic and trade ties // How important is each of the following for strong relations between the U.S. and Europe?,4,Very important | Somewhat important | Not too important | Not at all important
us_euro_dem,Shared democratic values // How important is each of the following for strong relations between the U.S. and Europe?,4,Very important | Somewhat important | Not too important | Not at all important
growinflu1_china,"China // For each of the following countries, would you say its influence in the world in recent years has been…",3,Getting stronger | Getting weaker | Staying about the same
growinflu1_russia,"Russia // For each of the following countries, would you say its influence in the world in recent years has been…",3,Getting stronger | Getting weaker | Staying about the same
growinflu1_india,"India // For each of the following countries, would you say its influence in the world in recent years has been…",3,Getting stronger | Getting weaker | Staying about the same
growinflu1_germany,"Germany // For each of the following countries, would you say its influence in the world in recent years has been…",3,Getting stronger | Getting weaker | Staying about the same
growinflu1_france,"France // For each of the following countries, would you say its influence in the world in recent years has been…",3,Getting stronger | Getting weaker | Staying about the same
growinflu1_uk,"The United Kingdom // For each of the following countries, would you say its influence in the world in recent years has been…",3,Getting stronger | Getting weaker | Staying about the same
growinflu1_iran,"Iran // For each of the following countries, would you say its influence in the world in recent years has been…",3,Getting stronger | Getting weaker | Staying about the same
growinflu1_brazil,"Brazil // For each of the following countries, would you say its influence in the world in recent years has been…",3,Getting stronger | Getting weaker | Staying about the same
growinflu1_country,"The U.S. // For each of the following countries, would you say its influence in the world in recent years has been…",3,Getting stronger | Getting weaker | Staying about the same
growinflu2_nato,"NATO, that is, North Atlantic Treaty Organization // For each of the following international organizations, would you say its influence in the world in recent years has been…",3,Getting stronger | Getting weaker | Staying about the same
growinflu2_eu,"The European Union // For each of the following international organizations, would you say its influence in the world in recent years has been…",3,Getting stronger | Getting weaker | Staying about the same
growinflu2_un,"The United Nations // For each of the following international organizations, would you say its influence in the world in recent years has been…",3,Getting stronger | Getting weaker | Staying about the same
china_us_enemy,"On balance, do you think of China as a partner of the U.S., a competitor of the U.S. or an enemy of the U.S.?",3,Partner | Competitor | Enemy
russia_us_enemy,"On balance, do you think of Russia as a partner of the U.S., a competitor of the U.S. or an enemy of the U.S.?",3,Partner | Competitor | Enemy
brderjob,How would you rate the job the U.S. government is doing dealing with the large number of people seeking asylum at the U.S. border with Mexico?,4,Very good job | Somewhat good job | Somewhat bad job | Very bad job
brderjob_mex,How would you rate the job the Mexican government is doing dealing with the large number of people seeking asylum at the U.S. border with Mexico?,4,Very good job | Somewhat good job | Somewhat bad job | Very bad job
china_influ_econ,How much influence do you think China is having on economic conditions in the U.S.?,4,A great deal of influence | A fair amount of influence | Not too much influence | No influence at all
china_influ_econ2,"Right now, is China having a positive or negative impact on economic conditions in the U.S.?",2,Positive impact | Negative impact
china_disputes,How concerned are you about territorial disputes between China and neighboring countries?,4,Very concerned | Somewhat concerned | Not too concerned | Not at all concerned
nationality_relig,Being a Christian // Some people say that the following things are important for being truly American. Others say they are not important for being truly American.How important do you think each of the following is to be truly Americ,4,Very important | Somewhat important | Not too important | Not at all important
nationality_born,Being born in the United States // Some people say that the following things are important for being truly American. Others say they are not important for being truly American.How important do you think each of the following is to be,4,Very important | Somewhat important | Not too important | Not at all important
nationality_lang,Being able to speak English // Some people say that the following things are important for being truly American. Others say they are not important for being truly American.How important do you think each of the following is to be tru,4,Very important | Somewhat important | Not too important | Not at all important
nationality_custom,Sharing American customs and traditions // Some people say that the following things are important for being truly American. Others say they are not important for being truly American.How important do you think each of the followin,4,Very important | Somewhat important | Not too important | Not at all important
benefitorg_nato,"North Atlantic Treaty Organization, or NATO // How much, if at all, do you think the U.S. benefits from being a member of each of the following organizations?",4,A great deal | A fair amount | Not too much | Not at all
benefitorg_un,"The United Nations // How much, if at all, do you think the U.S. benefits from being a member of each of the following organizations?",4,A great deal | A fair amount | Not too much | Not at all
benefitorg_who,"The World Health Organization, or WHO // How much, if at all, do you think the U.S. benefits from being a member of each of the following organizations?",4,A great deal | A fair amount | Not too much | Not at all
unisgz_aid,Provide effective humanitarian aid to Gaza // How much confidence do you have in the ability of the United Nations to…,4,A great deal of confidence | A fair amount of confidence | Not too much confidence | No confidence at all
unisgz_ceasefire,Enforce a ceasefire between Israel and Hamas // How much confidence do you have in the ability of the United Nations to…,4,A great deal of confidence | A fair amount of confidence | Not too much confidence | No confidence at all
eu_def_spend,"Now thinking about American allies in Europe, do you think that our European allies’ spending on national defense should…?",3,Increase | Decrease | Stay about the same
ukr_sprt,"When it comes to Russia’s invasion of Ukraine, do you think the U.S. is providing …",3,Too much support to Ukraine | Not enough support to Ukraine | About the right amount of support to Ukraine
ukr_natsec,Do you think supporting Ukraine in its war against Russia…,3,Helps U.S. national security | Hurts U.S. national security | Has no impact on U.S. national security
ua_conc_b,Ukraine being defeated and taken over by Russia // How concerned are you about the possibility of each of the following?,5,Extremely concerned | Very concerned | Somewhat concerned | Not too concerned | Not at all concerned
ua_conc_d,"Russia invading other countries in the region, not just Ukraine // How concerned are you about the possibility of each of the following?",5,Extremely concerned | Very concerned | Somewhat concerned | Not too concerned | Not at all concerned
ssdo_priorities,"In setting priorities for the U.S., we must consider all groups // There are many kinds of groups in the world: different genders, ethnic and religious groups, nationalities, and political groups. Do you favor or oppose each of the fo",4,Strongly favor | Somewhat favor | Somewhat oppose | Strongly oppose
ssdo_push,"We should NOT push for equality between all groups // There are many kinds of groups in the world: different genders, ethnic and religious groups, nationalities, and political groups. Do you favor or oppose each of the following ideas about",4,Strongly favor | Somewhat favor | Somewhat oppose | Strongly oppose
ssdo_ideal,"Group equality should be our ideal // There are many kinds of groups in the world: different genders, ethnic and religious groups, nationalities, and political groups. Do you favor or oppose each of the following ideas about groups in the",4,Strongly favor | Somewhat favor | Somewhat oppose | Strongly oppose
ssdo_dominate,"Superior groups should dominate inferior groups // There are many kinds of groups in the world: different genders, ethnic and religious groups, nationalities, and political groups. Do you favor or oppose each of the following ideas abou",4,Strongly favor | Somewhat favor | Somewhat oppose | Strongly oppose
nato_region,NATO is an international alliance with member states concentrated in which two regions of the world?,4,North America and the Asia Pacific | Europe and Asia | The Middle East and North Africa | Europe and North America
nato_focus,Which of the following is a central focus of NATO?,4,Promoting trade among its members | Prosecuting international crimes | Reducing the effects of climate change | Promoting the security of its members
nato_know,Which of the following countries is NOT a member of NATO?,4,Estonia | Turkey | Bulgaria | Ukraine
newssociety,"Overall, how important do you think the freedom of the press is to the well-being of society?",5,Extremely important | Very important | Somewhat important | A little important | Not at all important
newscorp,"How much, if at all, do you think that U.S. news organizations are influenced by corporations and financial interests?",4,A great deal | Somewhat | Not very much | Not at all
newsgovt,"How much, if at all, do you think that U.S. news organizations are influenced by government and political interests?",4,A great deal | Somewhat | Not very much | Not at all
newsrestrict,"How concerned are you, if at all, about potential restrictions on press freedoms in the United States?",5,Extremely concerned | Very concerned | Somewhat concerned | A little concerned | Not at all concerned
newsprotect,"Which comes closer to your own view, even if neither is exactly right?",2,"The freedom of the press should always be protected, even if it means false information could be published | The publication of false information should always be prevented, even if it means the freedom of the press could be limi"
bestage_marry,"Get married // In your opinion, what is the best age to do each of the following things?",3,95 or above | No best age | Never (should never get married)
bestage_child,"Have your first child // In your opinion, what is the best age to do each of the following things?",3,95 or above | No best age | Never (should never have children)
bestage_house,"Buy a home // In your opinion, what is the best age to do each of the following things?",3,95 or above | No best age | Never (should never buy a home)
bestage_retire,"Retire // In your opinion, what is the best age to do each of the following things?",3,95 or above | No best age | Never (should never retire)
